team_id,name,formation_date,purpose
EQT001,Equipo Multidisciplinario de Oncología Pediátrica,2019-03-15T09:00:00Z,Coordinar el tratamiento integral del cáncer en niños, incluyendo cirugía, quimioterapia y radioterapia.
EQT002,Unidad de Rehabilitación Neurológica,2021-07-01T08:00:00Z,Ayudar a pacientes a recuperarse de ACV, lesiones cerebrales traumáticas y otras afecciones neurológicas.
EQT003,Equipo de Salud Mental Perinatal,2020-01-10T10:00:00Z,Proveer apoyo y tratamiento psiquiátrico y psicológico a madres durante el embarazo y el posparto.
EQT004,Equipo de Cuidados Paliativos Domiciliarios,2018-05-20T11:00:00Z,Mejorar la calidad de vida de pacientes con enfermedades terminales en su domicilio y apoyar a sus familias.
EQT005,Clínica Especializada en Fibromialgia,2022-02-28T14:00:00Z,Ofrecer un enfoque multidisciplinario para el diagnóstico, tratamiento y manejo de la fibromialgia.
EQT006,Equipo de Soporte Nutricional Hospitalario,2017-11-05T09:30:00Z,Evaluar y gestionar las necesidades nutricionales de pacientes hospitalizados para optimizar su recuperación.
EQT007,Unidad de Cuidados Intensivos Cardiovasculares (UCIC),2016-09-12T00:00:00Z,Proveer cuidados críticos especializados a pacientes con afecciones cardíacas agudas o después de cirugía cardíaca.
EQT008,Equipo de Intervención en Crisis Psiquiátricas,2023-01-20T07:00:00Z,Proporcionar evaluación y estabilización rápida para individuos que experimentan una crisis de salud mental aguda.
EQT009,Centro de Manejo Integral de la Obesidad,2019-06-01T08:30:00Z,Ofrecer programas de tratamiento médico, nutricional y conductual para pacientes con obesidad.
EQT010,Equipo de Atención Primaria Compleja,2020-04-10T10:30:00Z,Brindar atención médica coordinada y continua a pacientes con múltiples condiciones crónicas.
